price,accommodates,bedrooms,beds,room_type,property_type,latitude,longitude,availability_365,minimum_nights,maximum_nights,number_of_reviews,bathrooms
160.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.5105,-0.07624,40,1,1125,58,1.0
145.0,6,3.0,3.0,Entire home/apt,Entire home,51.64177,-0.16735,101,3,21,25,2.5
86.0,2,1.0,1.0,Entire home/apt,Entire loft,51.5886305,-0.2547045,0,1,730,6,1.0
102.0,2,0.0,1.0,Entire home/apt,Entire rental unit,51.52402499308224,-0.1599118816771041,341,6,1125,56,1.0
74.0,2,1.0,1.0,Private room,Private room in rental unit,51.54703,-0.05838,364,1,365,1,1.0
367.0,16,7.0,7.0,Entire home/apt,Entire home,51.55785,-0.21301,251,3,1125,43,2.5
113.0,4,1.0,1.0,Entire home/apt,Entire condo,51.56713960894397,0.0107923227539119,240,2,84,20,1.0
60.0,4,2.0,3.0,Entire home/apt,Entire rental unit,51.5478758153977,-0.0703454531542153,5,2,1125,103,1.0
510.0,6,4.0,4.0,Entire home/apt,Entire home,51.513087886659285,-0.2629609318113532,156,2,365,1,3.5
232.0,8,4.0,4.0,Entire home/apt,Entire home,51.48365,-0.09923,0,7,365,2,2.5
105.0,4,1.0,2.0,Entire home/apt,Entire rental unit,51.41062,-0.30277,354,1,365,1,1.0
139.0,6,2.0,3.0,Entire home/apt,Entire rental unit,51.51296,-0.27698,95,2,365,9,2.0
228.0,6,3.0,3.0,Entire home/apt,Entire rental unit,51.5536664,-0.2451757,365,14,365,1,2.0
300.0,4,3.0,3.0,Entire home/apt,Entire townhouse,51.5482,-0.14469,173,14,21,2,1.5
72.0,2,1.0,1.0,Private room,Private room in condo,51.475,-0.16308,207,1,28,181,1.0
56.0,2,1.0,1.0,Private room,Private room in rental unit,51.52734,-0.1183,160,1,7,255,2.0
329.0,5,2.0,2.0,Entire home/apt,Entire rental unit,51.506,-0.14804,292,1,45,8,2.5
106.0,3,1.0,1.0,Entire home/apt,Entire condo,51.43758,-0.05361,54,3,56,33,1.0
408.0,2,1.0,1.0,Private room,Room in hotel,51.5179427946244,-0.1509421668090849,309,1,365,2,1.0
100.0,6,2.0,4.0,Entire home/apt,Entire rental unit,51.5696,-0.13599,0,2,1125,10,1.0
86.0,2,1.0,1.0,Private room,Private room in home,51.47226,-0.19437,124,2,14,93,1.0
1590.0,4,1.0,2.0,Entire home/apt,Entire rental unit,51.52066809882402,-0.1701159873538818,364,1,1125,4,1.0
83.0,4,1.0,2.0,Entire home/apt,Entire home,51.56668,-0.35531,318,3,365,89,1.0
349.0,8,2.0,4.0,Entire home/apt,Entire rental unit,51.51852,-0.08049,177,2,365,3,2.0
32.0,1,1.0,1.0,Private room,Private room in home,51.56202,-0.05618,31,1,364,26,1.0
152.0,6,2.0,4.0,Entire home/apt,Entire serviced apartment,51.56234251094069,-0.3185755096664031,187,2,365,20,1.0
169.0,3,2.0,2.0,Entire home/apt,Entire cottage,51.54052,-0.10111,125,3,30,64,1.0
380.0,5,3.0,3.0,Entire home/apt,Entire rental unit,51.50011213801576,-0.1393779063040358,346,1,1125,57,2.0
233.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.49481801210064,-0.1855697929554818,287,2,365,2,1.0
